sa2_code,sa2_name_x,state_x,total_persons_2011,total_renters_2011,total_dwellings_2011,own_occ_2011,rented_2011,other_tenure_2011,tenure not stated_2011,tenure n_a_2011,rent_stress_2011,young_2011,older_2011,unemployed_2011,single_parent_2011,low_ed_2011,assist_2011,indig_2011,english_2011,spanish_2011,arabic_2011,hindi_2011,punjabi_2011,vietnamese_2011,japanese_2011,korean_2011,mandarin_2011,samoan_2011,tagalog_2011,all_other_lang_2011,public_community_2011,boardinghouse_2011,residential_park_2011,rvi_2011,hcv_2011,11_m_rent_common,total_persons_2016,total_renters_2016,total_dwellings_2016,own_occ_2016,rented_2016,other_tenure_2016,tenure not stated_2016,tenure n_a_2016,rent_stress_2016,young_2016,older_2016,unemployed_2016,single_parent_2016,low_ed_2016,assist_2016,indig_2016,english_2016,spanish_2016,arabic_2016,hindi_2016,punjabi_2016,vietnamese_2016,japanese_2016,korean_2016,mandarin_2016,samoan_2016,tagalog_2016,all_other_lang_2016,public_community_2016,boardinghouse_2016,residential_park_2016,rvi_2016,hcv_2016,16_m_rent_common,total_persons_2021,total_renters_2021,total_dwellings_2021,own_occ_2021,rented_2021,other_tenure_2021,tenure not stated_2021,tenure n_a_2021,rent_stress_2021,young_2021,older_2021,unemployed_2021,single_parent_2021,low_ed_2021,assist_2021,indig_2021,english_2021,spanish_2021,arabic_2021,hindi_2021,punjabi_2021,vietnamese_2021,japanese_2021,korean_2021,mandarin_2021,samoan_2021,tagalog_2021,all_other_lang_2021,public_community_2021,boardinghouse_2021,residential_park_2021,rvi_2021,hcv_2021,21_m_rent_common
213041572,Cobblebank - Strathtulloh,vic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7647.0,2033.0,2425.0,1519.0,645.0,12.0,158.0,94.0,198.0,42.0,252.0,105.0,158.0,130.0,103.0,45.0,1276.0,10.0,20.0,36.0,309.0,0.0,0.0,0.0,9.0,58.0,12.0,303.0,6.0,0.0,0.0,0.171539961,PC_RECRENTERS,387.0
213041573,Eynesbury - Exford,vic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2995.0,308.0,998.0,836.0,92.0,0.0,28.0,38.0,23.0,3.0,9.0,15.0,22.0,17.0,26.0,22.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.711500975,PC_RECRENTERS,387.0
213041574,Fraser Rise - Plumpton,vic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10118.0,1663.0,3247.0,2467.0,520.0,3.0,135.0,93.0,150.0,46.0,201.0,76.0,122.0,102.0,62.0,18.0,871.0,30.0,77.0,34.0,113.0,38.0,0.0,0.0,5.0,22.0,37.0,436.0,3.0,0.0,0.0,0.152046784,PC_RECRENTERS,437.0
213041575,Hillside,vic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16136.0,2041.0,5274.0,4189.0,688.0,8.0,203.0,156.0,223.0,94.0,219.0,87.0,201.0,161.0,107.0,23.0,1287.0,65.0,63.0,44.0,114.0,29.0,4.0,4.0,3.0,17.0,17.0,394.0,4.0,0.0,0.0,0.50877193,PC_RECRENTERS,387.0
213041576,Kurunjang - Toolern Vale,vic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11591.0,2395.0,4290.0,2922.0,876.0,8.0,221.0,238.0,330.0,139.0,225.0,118.0,283.0,294.0,230.0,127.0,1978.0,24.0,20.0,19.0,42.0,4.0,0.0,0.0,3.0,56.0,9.0,240.0,61.0,0.0,0.0,0.814814815,PC_RECRENTERS,312.0
213041577,Melton,vic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7784.0,2542.0,3512.0,1849.0,1037.0,8.0,311.0,265.0,427.0,244.0,276.0,142.0,276.0,381.0,297.0,114.0,1934.0,13.0,17.0,16.0,60.0,22.0,0.0,0.0,6.0,61.0,15.0,398.0,103.0,0.0,0.0,0.812865497,PC_RECRENTERS,312.0
213041578,Melton South - Weir Views,vic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16674.0,5900.0,6163.0,3116.0,2041.0,12.0,555.0,397.0,741.0,288.0,609.0,323.0,570.0,703.0,447.0,172.0,4003.0,46.0,53.0,50.0,242.0,38.0,3.0,0.0,10.0,220.0,24.0,1211.0,157.0,6.0,0.0,0.477582846,PC_RECRENTERS,337.0
213051361,Hoppers Crossing - North,vic,18926.0,3239.0,6607.0,4742.0,1078.0,27.0,347.0,375.0,226.0,388.0,72.0,164.0,311.0,344.0,119.0,45.0,2134.0,20.0,104.0,46.0,68.0,27.0,6.0,3.0,11.0,14.0,60.0,746.0,81.0,0.0,0.0,0.406619385,PC_RECRENTERS,280.1,19097.0,3892.0,6720.0,4645.0,1258.0,21.0,393.0,371.0,243.0,447.0,143.0,252.0,310.0,390.0,206.0,53.0,2207.0,32.0,177.0,72.0,204.0,14.0,5.0,0.0,10.0,56.0,82.0,1033.0,80.0,0.0,0.0,0.4922049,PC_RECRENTERS,317.11,18353.0,3991.0,6833.0,4651.0,1394.0,16.0,356.0,366.0,457.0,193.0,444.0,234.0,332.0,380.0,248.0,82.0,2336.0,29.0,160.0,77.0,282.0,18.0,0.0,0.0,12.0,46.0,78.0,953.0,107.0,0.0,0.0,0.434697856,PC_DISABILITY,337.0
213051362,Hoppers Crossing - South,vic,18502.0,4011.0,7004.0,4755.0,1381.0,26.0,391.0,407.0,269.0,464.0,190.0,210.0,310.0,479.0,157.0,58.0,2524.0,49.0,94.0,64.0,141.0,27.0,4.0,4.0,24.0,8.0,41.0,1031.0,61.0,0.0,0.0,0.494089835,PC_RECRENTERS,274.36,19375.0,5344.0,7087.0,4526.0,1688.0,17.0,406.0,413.0,348.0,598.0,249.0,360.0,380.0,639.0,258.0,89.0,2781.0,72.0,138.0,113.0,314.0,35.0,0.0,4.0,50.0,46.0,98.0,1693.0,57.0,0.0,0.0,0.469933185,PC_RECRENTERS,314.32,18653.0,5702.0,7140.0,4320.0,1931.0,17.0,413.0,402.0,627.0,277.0,635.0,320.0,425.0,624.0,348.0,110.0,2990.0,33.0,147.0,147.0,398.0,44.0,4.0,3.0,52.0,67.0,60.0,1757.0,59.0,4.0,0.0,0.34502924,PC_DISABILITY,337.0
213051363,Laverton,vic,5495.0,2091.0,2220.0,1072.0,696.0,8.0,161.0,247.0,163.0,390.0,48.0,125.0,144.0,260.0,60.0,30.0,878.0,26.0,22.0,90.0,318.0,4.0,3.0,4.0,21.0,6.0,23.0,696.0,50.0,0.0,67.0,0.262411348,PC_RECRENTERS,283.38,9259.0,3574.0,3418.0,1606.0,1131.0,17.0,241.0,397.0,203.0,515.0,92.0,230.0,183.0,332.0,119.0,36.0,1395.0,39.0,78.0,209.0,365.0,11.0,5.0,19.0,105.0,61.0,79.0,1208.0,55.0,0.0,55.0,0.155902004,PC_ENGLISH,335.91,11518.0,5050.0,4505.0,1946.0,1746.0,4.0,319.0,461.0,425.0,151.0,727.0,257.0,219.0,383.0,188.0,57.0,1909.0,93.0,116.0,254.0,577.0,39.0,3.0,18.0,114.0,60.0,90.0,1777.0,45.0,11.0,70.0,0.074074074,PC_DISABILITY,387.0
